IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,672.5,612.5,1,0,1,134,7,48,9,183.403,181.821,178.433,3.57172,4.66682,4.27005
1,1055,608.5,1,0,1,86,6,54,14,178.349,176.535,168.919,3.60039,3.37084,5.20469
1,1110.75,605.75,1,0,1,64,5,82,13,175.984,178.875,171.047,2.70011,3.51558,4.75595
1,244.5,608,1,0,1,261,10,52,12,181.034,180.284,173.605,3.8316,4.52061,6.39986
1,1006,601,1,0,1,32,4,80,14,176.938,180.094,171.25,2.4987,3.19885,3.38485
1,314.5,599,1,0,1,255,10,46,15,182,179.898,173.467,3.55911,4.76222,5.29476
1,832,584,1,0,1,54,5,84,8,178.907,181.222,176.185,3.35913,3.34652,5.54229
1,1477,579,1,0,1,239,9,54,14,163.297,161.971,152.071,4.05727,4.20094,4.82668
1,979,563,1,0,1,159,8,70,10,180.27,181.101,174.786,3.78966,4.41877,6.13878
1,249.5,559,1,0,1,353,11,60,10,180.873,181.374,174.652,4.68031,4.59754,7.30799
1,723,543,1,0,1,52,5,30,7,182.038,180.5,177.788,4.0443,2.98552,3.45213
1,528,527,1,0,1,61,6,44,18,183.082,180.377,172.23,3.16753,3.56818,4.3603
1,1207.5,520.5,1,0,1,79,5,72,8,172.266,173.266,168.266,2.32845,2.32845,2.32845
1,1179.18,519.085,1,0,1,196,9,72,8,175.974,177.107,171.98,3.62141,4.71892,6.42665
1,643.7,507.9,1,0,1,88,7,76,7,179.966,181.205,176.693,3.7071,3.48248,3.12858
1,1020.1,501.2,1,0,1,109,6,50,10,179.881,178.89,174.128,3.87898,4.15455,5.31362
1,531,493,1,0,1,26,4,94,13,183.846,187.962,181.269,2.89518,2.72048,3.22845
1,1071,489.5,1,0,1,89,6,60,8,176.225,175.663,171.393,3.40203,3.75577,4.01911
1,1224.16,483.565,1,0,1,223,9,90,6,172.937,174.547,170.655,3.64755,3.84207,3.97856
1,1149.5,475.5,1,0,1,233,9,84,8,176.824,178.541,173.73,4.10322,4.09912,4.81884
1,788,445.5,1,0,1,89,6,50,10,181.91,180.528,175.978,3.54241,3.54439,3.84418
1,1392.68,445.706,1,0,1,237,9,46,12,166.401,163.591,157.468,3.44511,4.22523,5.52327
1,170.9,450.2,1,0,1,491,13,44,18,174.743,172.198,163.487,5.32387,6.57231,8.34024
